,0,1
4989,elektrolizen,elektrolitski
4990,elektroluminescenten,elektroluminiscenčen
4991,elektroluminiscenčen,elektroluminescenten
4992,elektronika,elektronske naprave
4993,elektronski,brez papirja
4994,elektropodjetje,elektrodistribucijsko podjetje
4995,elektrotehničen,elektrotehniški
4996,elektrotehniški,elektrotehničen
4997,elektroterapevt,elektroterapevtka
4998,elektroterapevtka,elektroterapevt
4999,elektrošok,električni impulz
5000,elementaren,osnoven
5001,elementarno,osnovno
5002,elevacija,kot
5003,elidirati,izpustiti
5004,eliksir,napoj
5005,eliminacija,odstranitev
5006,eliminacijski,eliminatoren
5007,eliminatoren,eliminacijski
5008,eliminirati,odstraniti
5009,elipsa,izpust
5010,elipsast,elipsen
5011,elipsen,elipsast
5012,eliptičen,elipsast
5013,elisa,propeler
5014,elita,smetana
5015,elitist,elitistka
5016,elitističen,klubaški
5017,elitistka,elitist
5018,elitnica,pripadnica družbene smetane
5019,elitnik,pripadnik družbene smetane
5020,elitra,pokrovka
5021,elizabetinec,elizabetinka
5022,elizabetinka,elizabetinec
5023,elizija,izpust
5024,elizijski,rajski
5025,elokvenca,prepričljivost
5026,elokventen,prepričljiv
5027,elokventno,prepričljivo
5028,elokventnost,govorniška spretnost
5029,emajler,emajlerka
5030,emajlerka,emajler
5031,emancipiran,enakopraven
5032,embaliranje,embalaža
5033,embalirati,zapakirati
5034,embargo,prepoved trgovanja
5035,embolus,strdek
5036,embrij,embrio
5037,embrio,embrij
5038,embriolog,embriologinja
5039,embriologinja,embriolog
5040,embrionalen,zaroden
5041,emergenca,izrastek
5042,emeritus,zaslužni
5043,emetik,bljuvalo
5044,emetičen,bljuvalen
5045,emigrant,izseljenec
5046,emigrantka,izseljenka
5047,emigrirati,izseliti se
5048,eminenca,avtoriteta
5049,eminenten,ugleden
5050,emisar,odposlanec
5051,emisarka,odposlanka
5052,emisivnost,emisijski koeficient
5053,emocija,čustvo
5054,emocionalen,čustven
5055,emocionalno,emotivno
5056,emocionalnost,čustvenost
5057,emotiven,čustven
5058,emotivno,emocionalno
5059,emotivnost,čustvenost
5060,empatija,zmožnost vživljanja
5061,empatičen,z zmožnostjo vživljanja
5062,empatično,z empatijo
5063,empir,empirski slog
5064,empirist,empiristka
5065,empiristka,empirist
5066,empiričarka,empirik
5067,empiričen,izkustven
5068,empirično,izkustveno
5069,empirski,izkusen
5070,empora,balkon
5071,emulacija,posnemanje
5072,emulator,posnemovalnik
5073,emulgirati,napraviti emulzijo
5074,emulirati,posnemati
5075,enaindvajset,black jack
5076,enainosemdeset,enainosemdesetica
5077,enainosemdesetica,enainosemdeset
5078,enajsterokotnik,enajstkotnik
5079,enajstkotnik,enajsterokotnik
5080,enajstmetrovka,kazenski strel
5081,enakoglasen,homofon
5082,enakoglasje,homofonija
5083,enakoglasnica,homofon
5084,enakonočje,ekvinokcij
5085,enakonožec,mokrica
5086,enakopisnica,homograf
5087,enakopisnost,homografija
5088,enakopraven,enakovreden
5089,enakopravno,enakomerno
5090,enakopravnost,enakost
5091,enakovreden,enak
5092,enakovredno,izenačeno
5093,enakovrednost,enakost
5094,enakozvočen,homonimen
5095,enakozvočnica,homonim
5096,enakozvočnost,homonimija
5097,enačiti,primerjati
5098,encefalen,možganski
5099,encefalin,enkefalin
5100,encefalitis,vnetje možganov
5101,enciklika,okrožnica
5102,enciklopedija,leksikon
5103,enciklopedijski,enciklopedičen
5104,enciklopedist,avtor enciklopedije
5105,enciklopedistka,avtorica enciklopedije
5106,enciklopedičen,enciklopedijski
5107,encim,ferment
5108,encimolog,encimologinja
5109,encimologija,veda o encimih
5110,encimologinja,encimolog
5111,endem,endemit
5112,endemen,endemičen
5113,endemit,endem
5114,endemičen,endemen
5115,endemski,endemičen
5116,endermično,skozi kožo
5117,endogen,notranji
5118,endogeno,od znotraj
5119,endokard,endokardij
5120,endokardij,endokard
5121,endokarditis,vnetje notranje posrčnice
5122,endokrinolog,endokrinologinja
5123,endokrinologija,nauk o endokrinih žlezah
5124,endokrinologinja,endokrinolog
5125,endometrij,maternična sluznica
5126,endoparazit,notranji zajedavec
5127,endoskelet,notranje ogrodje
5128,endoskeleten,z notranjim ogrodjem
5129,endoskopist,endoskopistka
5130,endoskopistka,endoskopist
5131,endoskopsko,z endoskopom
5132,endosperm,hranilno tkivo
5133,endospora,bakterijska spora
5134,energetika,nauk o energiji
5135,engoba,dekorativna glina
5136,engram,spominska sled
5137,enica,enka
5138,enigma,uganka
5139,enigmatičen,skrivnosten
5140,enigmatično,skrivnostno
5141,eniški,enojen
5142,enjambement,verzni prestop
5143,enka,ena
5144,enkapsulacija,ovijanje
5145,enkapsulirati,oviti
5146,enkefalin,encefalin
5147,enklitika,naslonka
5148,enklitičen,breznaglasen
5149,enkodiranje,tvorjenje sporočila
5150,enkodirati,tvoriti
5151,enkomij,hvalnica
5152,enkripcija,kodiranje
5153,eno,ena
5154,enoboštvo,monoteizem
5155,enobožen,monoteističen
5156,enoceličar,pražival
5157,enodebelinski,egipčanski
5158,enodebeln,iz enega debla
5159,enodejanka,skeč
5160,enodelen,nečlenjen
5161,enodimenzionalen,enorazsežen
5162,enoglasen,soglasen
5163,enoglasnik,monoftong
5164,enoglasno,soglasno
5165,enojec,skif
5166,enojedrn,z enim jedrom
5167,enojen,eniški
5168,enokolo,monocikel
5169,enokrilec,enokrilnik
5170,enokrilnik,enokrilec
5171,enoleten,leten
5172,enolinijski,unilinearen
5173,enolog,vinar
5174,enologija,vinarstvo
5175,enologinja,vinarka
5176,enolončnica,obara
